analysis_source,source_run,N,geometry,lambda_fit,beta_fit,lambda_action,action_over_fit,relative_tensor_difference,bianchi_relative,Rscalar_mask_rms,score_points,total_points,score_fraction,elapsed_seconds,extent,t_extent,amplitude,width,radius,mass,eps,omega,k,score,interior_crop,residual_fit,residual_action,residual_H,bianchi_abs,G_mixed_norm,S_min,S_max,sweep_label,sweep_amplitude,sweep_width,sweep_omega,sweep_Aomega,sweep_score,resolution_stage,redesign
Stage7A-C resolution ladder,stage7_cross_geometry_N71_frw,71,frw,-0.0143436989325153,2.915633207286735,0.0074948912385395,1.001197154164059,0.1765655325009151,0.0003712318810665,0.4542678668336447,17850625,25411681,0.702457464344842,2812.209351301193,5.0,1.0,0.025,0.75,2.5,1.25,0.35,2.0,5.0,localized,3.0,0.0988240199146598,0.0989423275016097,0.0988975632524267,2.433652093958713e-05,0.0655561178357524,-0.9996097263886704,0.9996097263886704,,,,,,,,
Stage7A-C resolution ladder,stage7_cross_geometry_N71_gaussian_pulse,71,gaussian_pulse,0.0152155512243525,-0.6631399653894092,0.0146124538966126,1.1406629865264089,0.006335780995539,0.0023415320133581,0.0759596281345151,423649,25411681,0.0166714276005589,2833.220792531967,5.0,1.0,0.025,0.75,2.5,1.25,0.35,2.0,5.0,localized,3.0,0.0106717561081307,0.0121728771937818,0.015896922323164,3.948529884039354e-05,0.0168630190042823,3.6627321008341896e-60,0.8043041560655723,,,,,,,,
Stage7E Gaussian width N61,,61,gaussian_pulse,0.007188493441458,-0.4989044288485317,0.0071392742414978,1.0862588356657152,0.0047057866456213,0.0007088877095488,0.0364409633098879,1096303,13845841,0.0791792278995548,473.3827567100525,,,,,,,,,,,,,,,,,,,N61_gaussian_A0p010_W1p25,0.01,1.25,,,,,
Stage7E Gaussian width N61,,61,gaussian_pulse,0.0062252177764058,-0.446183291097865,0.0062048837296127,1.070022075786761,0.0053252468688918,0.0006829142331749,0.0378364452957253,1907813,13845841,0.1377896077240812,465.66879749298096,,,,,,,,,,,,,,,,,,,N61_gaussian_A0p010_W1p50,0.01,1.5,,,,,
Stage7E Gaussian width N61,,61,gaussian_pulse,0.0052704652299369,-0.4067211680652055,0.0052760369422132,1.0575699133377268,0.0057598073088003,0.0006800894439513,0.0387346742268352,3042845,13845841,0.2197659932683034,533.1400854587555,,,,,,,,,,,,,,,,,,,N61_gaussian_A0p010_W1p75,0.01,1.75,,,,,
Stage7E Gaussian width N61,,61,gaussian_pulse,0.0044481278271033,-0.3770096327199838,0.0044755030957904,1.0478684422383464,0.0060738538355593,0.0006827140556051,0.0394415687688347,4532109,13845841,0.3273263790910209,661.541196346283,,,,,,,,,,,,,,,,,,,N61_gaussian_A0p010_W2p00,0.01,2.0,,,,,
Stage7E Gaussian width N61,,61,gaussian_pulse,0.0180334700050457,-0.5124034794352269,0.0177079130567414,1.082912842356364,0.0115367580671302,0.0017793159337281,0.0907868586366349,1096303,13845841,0.0791792278995548,427.7274971008301,,,,,,,,,,,,,,,,,,,N61_gaussian_A0p025_W1p25,0.025,1.25,,,,,
Stage7E Gaussian width N61,,61,gaussian_pulse,0.0157140604106637,-0.4613843819475787,0.0155688545251109,1.0668471554537573,0.0130434094098929,0.0017173805170884,0.0943528611478912,1907813,13845841,0.1377896077240812,423.2745332717896,,,,,,,,,,,,,,,,,,,N61_gaussian_A0p025_W1p50,0.025,1.5,,,,,
Stage7E Gaussian width N61,,61,gaussian_pulse,0.0133715147666926,-0.4227516475856493,0.0133884266410963,1.0547759479847183,0.0141077335841495,0.0017111329346946,0.0966593008524052,3042845,13845841,0.2197659932683034,421.3112185001373,,,,,,,,,,,,,,,,,,,N61_gaussian_A0p025_W1p75,0.025,1.75,,,,,
Stage7E Gaussian width N61,,61,gaussian_pulse,0.0113366428428771,-0.3932983767490733,0.011490434884524,1.0454870782590615,0.0148841749514467,0.0017177962935749,0.0984718347637383,4532109,13845841,0.3273263790910209,411.4387404918671,,,,,,,,,,,,,,,,,,,N61_gaussian_A0p025_W2p00,0.025,2.0,,,,,
Stage7F Gaussian width N71,,71,gaussian_pulse,0.0180737432913402,-0.514225213926239,0.017740165817239,1.0824003445802235,0.0114692252206701,0.0013113677814533,0.0908584879561423,2043391,25411681,0.0804114847813491,2877.5078523159027,,,,,,,,,,,,,,,,,,,N71_gaussian_A0p025_W1p25,0.025,1.25,,,,,
Stage7F Gaussian width N71,,71,gaussian_pulse,0.0157511571200865,-0.4634729269006115,0.0155993273349887,1.0662240811954078,0.0129659186536899,0.0012652445312937,0.0943831867832264,3558919,25411681,0.1400505145645421,2722.171907901764,,,,,,,,,,,,,,,,,,,N71_gaussian_A0p025_W1p50,0.025,1.5,,,,,
Stage7F Gaussian width N71,,71,gaussian_pulse,0.0134003769338974,-0.4252406309963892,0.0134112266588505,1.0541203830509622,0.0140182299046219,0.0012606295494064,0.0967133007269279,5673099,25411681,0.2232476867626348,2705.829279899597,,,,,,,,,,,,,,,,,,,N71_gaussian_A0p025_W1p75,0.025,1.75,,,,,
Stage7F Gaussian width N71,,71,gaussian_pulse,0.0113591191960286,-0.3962331383647094,0.0115068876623968,1.04484007936001,0.0147823162899269,0.0012655594389391,0.098429497765113,8465897,25411681,0.333149821926381,2663.7719349861145,,,,,,,,,,,,,,,,,,,N71_gaussian_A0p025_W2p00,0.025,2.0,,,,,
Stage7G FRW sweep N61,,61,frw,-0.0015742738471261,6.680253215351386,0.0002998167117008,1.0004945543818786,0.0968148559430004,4.4712911006211e-05,0.029183044399724,9150625,13845841,0.6608934047415393,378.5918953418732,,,,,,,,,,,,,,,,,,,N61_frw_A0p010_O1p0,0.01,,1.0,0.01,,,
