section,rank,relation,cheb_distance,tile_id,t0,t1,x0,x1,y0,y1,z0,z1,n,rho_peak_err,rho_peak_ref,rho_tile_ratio,rho_abs_sum,file
global_top_abs_err,23,,,28702,72,81,124,155,124,155,54,63,77841,0.0013529375811754951,0.039359896580260394,0.03437350447343438,0.06868405431104581,N301_v1_sigma4_R3/tiles/tile028702_t72-81_x124-155_y124-155_z54-63.score.json
global_top_abs_err,24,,,28722,72,81,124,155,124,155,234,243,77841,0.0013529375811754951,0.03937785363627107,0.034357829496559966,0.088311235137944,N301_v1_sigma4_R3/tiles/tile028722_t72-81_x124-155_y124-155_z234-243.score.json
global_top_abs_err,25,,,28814,72,81,124,155,217,248,144,153,77841,0.0013529375811754951,0.03932194364714176,0.03440668124943609,0.035465435554445056,N301_v1_sigma4_R3/tiles/tile028814_t72-81_x124-155_y217-248_z144-153.score.json
global_top_abs_err,26,,,38810,99,108,124,155,31,62,144,153,68392,0.0013529375811754951,0.03932194364714176,0.03440668124943609,0.020807095876180574,N301_v1_sigma4_R3/tiles/tile038810_t99-108_x124-155_y31-62_z144-153.score.json
global_top_abs_err,27,,,38902,99,108,124,155,124,155,54,63,77841,0.0013529375811754951,0.039359896580260394,0.03437350447343438,0.06702459271558243,N301_v1_sigma4_R3/tiles/tile038902_t99-108_x124-155_y124-155_z54-63.score.json
global_top_abs_err,28,,,38922,99,108,124,155,124,155,234,243,77841,0.0013529375811754951,0.03937785363627107,0.034357829496559966,0.08775154339923814,N301_v1_sigma4_R3/tiles/tile038922_t99-108_x124-155_y124-155_z234-243.score.json
global_top_abs_err,29,,,39014,99,108,124,155,217,248,144,153,77841,0.0013529375811754951,0.03932194364714176,0.03440668124943609,0.03545277794784659,N301_v1_sigma4_R3/tiles/tile039014_t99-108_x124-155_y217-248_z144-153.score.json
global_top_abs_err,30,,,45610,117,126,124,155,31,62,144,153,68132,0.0013529375811754951,0.03932194364714176,0.03440668124943609,0.020337109446610584,N301_v1_sigma4_R3/tiles/tile045610_t117-126_x124-155_y31-62_z144-153.score.json
global_top_abs_err,31,,,45702,117,126,124,155,124,155,54,63,77841,0.0013529375811754951,0.039359896580260394,0.03437350447343438,0.06560904386168623,N301_v1_sigma4_R3/tiles/tile045702_t117-126_x124-155_y124-155_z54-63.score.json
global_top_abs_err,32,,,45722,117,126,124,155,124,155,234,243,77841,0.0013529375811754951,0.03937785363627107,0.034357829496559966,0.0872218426926323,N301_v1_sigma4_R3/tiles/tile045722_t117-126_x124-155_y124-155_z234-243.score.json
global_top_abs_err,33,,,45814,117,126,124,155,217,248,144,153,77841,0.0013529375811754951,0.03932194364714176,0.03440668124943609,0.03544019264234103,N301_v1_sigma4_R3/tiles/tile045814_t117-126_x124-155_y217-248_z144-153.score.json
global_top_abs_err,34,,,55810,144,153,124,155,31,62,144,153,67630,0.0013529375811754951,0.03932194364714176,0.03440668124943609,0.01948909517946247,N301_v1_sigma4_R3/tiles/tile055810_t144-153_x124-155_y31-62_z144-153.score.json
global_top_abs_err,35,,,55902,144,153,124,155,124,155,54,63,77841,0.0013529375811754951,0.039359896580260394,0.03437350447343438,0.0630431510378862,N301_v1_sigma4_R3/tiles/tile055902_t144-153_x124-155_y124-155_z54-63.score.json
global_top_abs_err,36,,,55922,144,153,124,155,124,155,234,243,77841,0.0013529375811754951,0.03937785363627107,0.034357829496559966,0.08613976961848317,N301_v1_sigma4_R3/tiles/tile055922_t144-153_x124-155_y124-155_z234-243.score.json
global_top_abs_err,37,,,56014,144,153,124,155,217,248,144,153,77841,0.0013529375811754951,0.03932194364714176,0.03440668124943609,0.03541314261043725,N301_v1_sigma4_R3/tiles/tile056014_t144-153_x124-155_y217-248_z144-153.score.json
global_top_abs_err,38,,,66010,171,180,124,155,31,62,144,153,66992,0.0013529375811754951,0.03932194364714176,0.03440668124943609,0.018483823842201267,N301_v1_sigma4_R3/tiles/tile066010_t171-180_x124-155_y31-62_z144-153.score.json
global_top_abs_err,39,,,66102,171,180,124,155,124,155,54,63,77841,0.0013529375811754951,0.039359896580260394,0.03437350447343438,0.05998233057599162,N301_v1_sigma4_R3/tiles/tile066102_t171-180_x124-155_y124-155_z54-63.score.json
global_top_abs_err,40,,,66122,171,180,124,155,124,155,234,243,77841,0.0013529375811754951,0.03937785363627107,0.034357829496559966,0.0846446104425749,N301_v1_sigma4_R3/tiles/tile066122_t171-180_x124-155_y124-155_z234-243.score.json
global_top_abs_err,41,,,66214,171,180,124,155,217,248,144,153,77841,0.0013529375811754951,0.03932194364714176,0.03440668124943609,0.03537357927462615,N301_v1_sigma4_R3/tiles/tile066214_t171-180_x124-155_y217-248_z144-153.score.json
global_top_abs_err,42,,,76210,198,207,124,155,31,62,144,153,66296,0.0013529375811754882,0.03932194364714176,0.03440668124943592,0.017341660634316396,N301_v1_sigma4_R3/tiles/tile076210_t198-207_x124-155_y31-62_z144-153.score.json
global_top_abs_err,43,,,76302,198,207,124,155,124,155,54,63,77841,0.0013529375811754882,0.039359896580260394,0.0343735044734342,0.056480348420390854,N301_v1_sigma4_R3/tiles/tile076302_t198-207_x124-155_y124-155_z54-63.score.json
global_top_abs_err,44,,,76322,198,207,124,155,124,155,234,243,77841,0.0013529375811754882,0.03937785363627107,0.034357829496559786,0.0826625355706756,N301_v1_sigma4_R3/tiles/tile076322_t198-207_x124-155_y124-155_z234-243.score.json
global_top_abs_err,45,,,76414,198,207,124,155,217,248,144,153,77841,0.0013529375811754882,0.03932194364714176,0.03440668124943592,0.03531817348695916,N301_v1_sigma4_R3/tiles/tile076414_t198-207_x124-155_y217-248_z144-153.score.json
global_top_abs_err,46,,,113950,297,301,155,186,31,62,144,153,30325,0.00135293758007822,0.03932194364714176,0.03440668122153119,0.009124402186648962,N301_v1_sigma4_R3/tiles/tile113950_t297-301_x155-186_y31-62_z144-153.score.json
global_top_abs_err,47,,,114154,297,301,155,186,217,248,144,153,34596,0.00135293758007822,0.03932194364714176,0.03440668122153119,0.015753588851505327,N301_v1_sigma4_R3/tiles/tile114154_t297-301_x155-186_y217-248_z144-153.score.json
global_top_abs_err,48,,,114042,297,301,155,186,124,155,54,63,34596,0.0013529375800782131,0.039359896580260394,0.0343735044455562,0.029417926159572633,N301_v1_sigma4_R3/tiles/tile114042_t297-301_x155-186_y124-155_z54-63.score.json
global_top_abs_err,49,,,114062,297,301,155,186,124,155,234,243,34596,0.0013529375800782131,0.03937785363627107,0.034357829468694506,0.03886470414627847,N301_v1_sigma4_R3/tiles/tile114062_t297-301_x155-186_y124-155_z234-243.score.json
global_top_abs_err,50,,,15010,36,45,124,155,31,62,144,153,68815,0.001352937047766345,0.03932193583531502,0.034406674519601665,0.021801092995399726,N301_v1_sigma4_R3/tiles/tile015010_t36-45_x124-155_y31-62_z144-153.score.json
